ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE,CONCISE_TITLE
293,920,Exc lacrimal gland NOS,"Excision of lacrimal gland, not otherwise specified",Lacrimal Gland Excision
294,921,Excis les lacrimal gland,Excision of lesion of lacrimal gland,Lacrimal Gland Excision
295,922,Part dacryoadenect NEC,Other partial dacryoadenectomy,Dacryoadenectomy
296,923,Total dacryoadenectomy,Total dacryoadenectomy,Dacryoadenectomy
297,93,Other lacrimal gland ops,Other operations on lacrimal gland,Lacrimal Gland Procedures
298,941,Lacrimal punctum probe,Probing of lacrimal punctum,Lacrimal Probing
299,942,Lac canaliculi probe,Probing of lacrimal canaliculi,Lacrimal Probing
300,943,Nasolacrimal duct probe,Probing of nasolacrimal duct,Nasolacrimal Duct Probing
301,944,Nasolac duct intubat,Intubation of nasolacrimal duct,Nasolacrimal Duct Intubation
302,949,Lac passage manip NEC,Other manipulation of lacrimal passage,Lacrimal Passage Manipulation
303,951,Lac punctum incision,Incision of lacrimal punctum,Lacrimal Punctum Incision
304,952,Lac canaliculi incision,Incision of lacrimal canaliculi,Lacrimal Canaliculi Incision
305,953,Lacrimal sac incision,Incision of lacrimal sac,Lacrimal Sac Incision
306,959,Lacrim passage incis NEC,Other incision of lacrimal passages,Lacrimal Passage Incision
307,96,Lacrim sac/passage excis,Excision of lacrimal sac and passage,Lacrimal Sac Excision
308,971,Correct everted punctum,Correction of everted punctum,Punctum Correction
309,972,Punctum repair NEC,Other repair of punctum,Punctum Repair
310,973,Canaliculus repair,Repair of canaliculus,Canaliculus Repair
311,981,Dacryocystorhinostomy,Dacryocystorhinostomy [DCR],DCR
312,982,Conjunctivocystorhinost,Conjunctivocystorhinostomy,Conjunctivocystorhinostomy
313,983,Conjunctivorhinos w tube,Conjunctivorhinostomy with insertion of tube or stent,Conjunctivorhinostomy
314,411,Clos periph nerve biopsy,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion,Cranial or Peripheral Nerve Biopsy
315,412,Open periph nerve biopsy,Open biopsy of cranial or peripheral nerve or ganglion,Cranial or Peripheral Nerve Biopsy
316,419,Periph nerve dx proc NEC,Other diagnostic procedures on cranial and peripheral nerves and ganglia,Cranial and Peripheral Nerve Diagnostics
317,42,Periph nerve destruction,Destruction of cranial and peripheral nerves,Nerve Destruction
318,43,Peripheral nerve suture,Suture of cranial and peripheral nerves,Cranial and Peripheral Nerve Suture
319,441,Decompress trigem root,Decompression of trigeminal nerve root,Trigeminal Nerve Decompression
320,442,Cran nerv root decom NEC,Other cranial nerve decompression,Cranial Nerve Decompression
321,443,Carpal tunnel release,Release of carpal tunnel,Carpal Tunnel Release
322,444,Tarsal tunnel release,Release of tarsal tunnel,Tarsal Tunnel Release
323,449,Per nerve adhesiolys NEC,Other peripheral nerve or ganglion decompression or lysis of adhesions,Peripheral Nerve Decompression
324,45,Peripheral nerve graft,Cranial or peripheral nerve graft,Nerve Graft
325,46,Periph nerve transposit,Transposition of cranial and peripheral nerves,Cranial and Peripheral Nerve Transposition
326,471,Hypogloss-facial anastom,Hypoglossal-facial anastomosis,Hypoglossal-Facial Anastomosis
327,472,Accessory-facial anastom,Accessory-facial anastomosis,Facial Anastomosis
328,473,Access-hypogloss anastom,Accessory-hypoglossal anastomosis,Hypoglossal Anastomosis
329,474,Periph nerv anastom NEC,Other anastomosis of cranial or peripheral nerve,Cranial or Peripheral Nerve Anastomosis
330,475,Postop revis per nerv op,Revision of previous repair of cranial and peripheral nerves,Revision Cranial and Peripheral Nerve Repair
331,476,Late repair per nerv inj,Repair of old traumatic injury of cranial and peripheral nerves,Cranial and Peripheral Nerve Repair
332,479,Other neuroplasty,Other neuroplasty,Neuroplasty
333,480,Periph nerve inject NOS,"Peripheral nerve injection, not otherwise specified",Peripheral Nerve Injection
334,481,Anesth injec periph nerv,Injection of anesthetic into peripheral nerve for analgesia,Peripheral Nerve Block
335,489,Periph nerve inject NEC,"Injection of other agent, except neurolytic",Other Agent Injection
336,491,Neurectasis,Neurectasis,Neurostomy
337,492,Imp/repl peri stim lead,Implantation or replacement of peripheral neurostimulator lead(s),Neurostimulator Lead Implantation
338,493,Removal peri stim lead,Removal of peripheral neurostimulator lead(s),Lead Removal
339,499,Peripheral nerve ops NEC,Other operations on cranial and peripheral nerves,Cranial and Peripheral Nerve Surgery
340,50,Sympath nerve division,Division of sympathetic nerve or ganglion,Sympathectomy
341,511,Sympathetic nerve biopsy,Biopsy of sympathetic nerve or ganglion,Sympathetic Nerve or Ganglion Biopsy
342,519,Sympath nrv dx proc NEC,Other diagnostic procedures on sympathetic nerves or ganglia,Sympathetic Nerve or Ganglion Diagnostic Procedures
343,521,Sphenopalatin ganglionec,Sphenopalatine ganglionectomy,Sphenopalatine Ganglionectomy
344,522,Cervical sympathectomy,Cervical sympathectomy,Cervical Sympathectomy
345,523,Lumbar sympathectomy,Lumbar sympathectomy,Lumbar Sympathectomy
346,524,Presacral sympathectomy,Presacral sympathectomy,Presacral Sympathectomy
347,525,Periart sympathectomy,Periarterial sympathectomy,Periarterial Sympathectomy
348,529,Other sympathectomy,Other sympathectomy and ganglionectomy,Sympathectomy and Ganglionectomy
349,531,Anesth inject symp nerve,Injection of anesthetic into sympathetic nerve for analgesia,Sympathetic Nerve Block
350,532,Neurolyt injec-symp nrv,Injection of neurolytic agent into sympathetic nerve,Neurolytic Block
351,539,Sympath nerve inject NEC,Other injection into sympathetic nerve or ganglion,Sympathetic Nerve or Ganglion Injection
352,581,Sympathetic nerve repair,Repair of sympathetic nerve or ganglion,Sympathetic Nerve Repair
353,589,Sympathetic nerve op NEC,Other operations on sympathetic nerves or ganglia,Sympathetic Nerve or Ganglion Operation
354,59,Other nervous system ops,Other operations on nervous system,Neurological Procedures
355,601,Thyroid field aspiration,Aspiration of thyroid field,Thyroid Field Aspiration
356,602,Reopen thyroid field wnd,Reopening of wound of thyroid field,Thyroid Wound Reopening
357,609,Incis thyroid field NEC,Other incision of thyroid field,Thyroid Incision
358,611,Closed thyroid gland bx,Closed [percutaneous] [needle] biopsy of thyroid gland,Thyroid Biopsy
359,612,Open thyroid gland bx,Open biopsy of thyroid gland,Thyroid Biopsy
360,613,Parathyroid biopsy,Biopsy of parathyroid gland,Parathyroid Biopsy
361,619,Thyr/parathy dx proc NEC,Other diagnostic procedures on thyroid and parathyroid glands,Thyroid and Parathyroid Procedures
362,62,Unilat thyroid lobectomy,Unilateral thyroid lobectomy,Thyroid Lobectomy
363,631,Excision thyroid lesion,Excision of lesion of thyroid,Thyroid Excision
364,639,Part thyroidectomy NEC,Other partial thyroidectomy,Partial Thyroidectomy
365,64,Complete thyroidectomy,Complete thyroidectomy,Thyroidectomy
366,650,Substern thyroidect NOS,"Substernal thyroidectomy, not otherwise specified",Thyroidectomy
367,651,Part substern thyroidect,Partial substernal thyroidectomy,Thyroidectomy
368,652,Tot substern thyroidect,Complete substernal thyroidectomy,Thyroidectomy
369,66,Lingual thyroid excision,Excision of lingual thyroid,Lingual Thyroid Excision
370,67,Thyrogloss duct excision,Excision of thyroglossal duct or tract,Thyroglossal Duct Excision
371,681,Total parathyroidectomy,Complete parathyroidectomy,Thyroid Surgery
372,689,Other parathyroidectomy,Other parathyroidectomy,Parathyroidectomy
373,691,Thyroid isthmus division,Division of thyroid isthmus,Thyroid Isthmus Division
374,692,Thyroid vessel ligation,Ligation of thyroid vessels,Thyroid Vessel Ligation
375,693,Thyroid suture,Suture of thyroid gland,Thyroid Suture
376,694,Thyroid reimplantation,Thyroid tissue reimplantation,Thyroid Tissue Reimplantation
377,695,Parathyroid reimplant,Parathyroid tissue reimplantation,Parathyroid Reimplantation
378,698,Other thyroid operations,Other operations on thyroid glands,Thyroid Operations
379,699,Other parathyroid ops,Other operations on parathyroid glands,Parathyroid Surgery
380,700,Adrenal exploration NOS,"Exploration of adrenal field, not otherwise specified",Adrenal Exploration
381,701,Unilat adrenal explorat,Unilateral exploration of adrenal field,Adrenalectomy
382,702,Bilat adrenal explorat,Bilateral exploration of adrenal field,Adrenalectomy
383,711,Closed adrenal gland bx,Closed [percutaneous] [needle] biopsy of adrenal gland,Adrenal Gland Biopsy
384,712,Open adrenal gland bx,Open biopsy of adrenal gland,Adrenal Gland Biopsy
385,713,Transfront pituitary bx,"Biopsy of pituitary gland, transfrontal approach",Pituitary Gland Biopsy
386,714,Transphen pituitary bx,"Biopsy of pituitary gland, transsphenoidal approach",Pituitary Gland Biopsy
387,715,Pituitary biopsy NOS,"Biopsy of pituitary gland, unspecified approach",Pituitary Gland Biopsy
388,716,Thymus biopsy,Biopsy of thymus,Thymus Biopsy
389,717,Pineal biopsy,Biopsy of pineal gland,Pineal Gland Biopsy
390,719,Endocrine dx proc NEC,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus",Endocrine Procedures
391,721,Adrenal lesion excision,Excision of lesion of adrenal gland,Adrenal Gland Excision
392,722,Unilateral adrenalectomy,Unilateral adrenalectomy,Adrenalectomy
393,729,Part adrenalectomy NEC,Other partial adrenalectomy,Partial Adrenalectomy
394,73,Bilateral adrenalectomy,Bilateral adrenalectomy,Adrenalectomy
395,741,Adrenal incision,Incision of adrenal gland,Adrenalectomy
396,742,Adrenal nerve division,Division of nerves to adrenal glands,Adrenalectomy
397,743,Adrenal vessel ligation,Ligation of adrenal vessels,Adrenalectomy
398,744,Adrenal repair,Repair of adrenal gland,Adrenal Gland Repair
399,745,Adrenal reimplantation,Reimplantation of adrenal tissue,Adrenal Reimplantation
400,749,Adrenal operation NEC,"Other operations on adrenal glands, nerves, and vessels",Adrenal Gland Surgery
401,751,Pineal field exploration,Exploration of pineal field,Pineal Exploration
402,752,Pineal gland incision,Incision of pineal gland,Pineal Gland Incision
403,753,Partial pinealectomy,Partial excision of pineal gland,Pineal Gland Excision
404,754,Total pinealectomy,Total excision of pineal gland,Pineal Gland Excision
405,759,Pineal operation NEC,Other operations on pineal gland,Pineal Gland Procedures
406,761,Exc pituit les-transfron,"Partial excision of pituitary gland, transfrontal approach",Pituitary Gland Excision
407,762,Exc pituit les-transphen,"Partial excision of pituitary gland, transsphenoidal approach",Pituitary Gland Excision
408,763,Part excis pituitary NOS,"Partial excision of pituitary gland, unspecified approach",Pituitary Gland Excision
409,764,Tot exc pituit-transfron,"Total excision of pituitary gland, transfrontal approach",Pituitary Gland Excision
410,765,Tot exc pituit-transphen,"Total excision of pituitary gland, transsphenoidal approach",Pituitary Gland Excision
411,768,Total exc pituitary NEC,"Total excision of pituitary gland, other specified approach",Pituitary Gland Excision
412,769,Total exc pituitary NOS,"Total excision of pituitary gland, unspecified approach",Pituitary Gland Excision
413,771,Pituitary fossa explorat,Exploration of pituitary fossa,Pituitary Fossa Exploration
414,772,Pituitary gland incision,Incision of pituitary gland,Pituitary Gland Incision
415,779,Pituitary operation NEC,Other operations on hypophysis,Hypophysis Surgery
416,780,Thymectomy NOS,"Thymectomy, not otherwise specified",Thymectomy
417,781,Oth part excision thymus,Other partial excision of thymus,Thymectomy
418,782,Oth totl excision thymus,Other total excision of thymus,Thymectomy
419,783,Thorac part exisn thymus,Thoracoscopic partial excision of thymus,Thymus Partial Excision
420,784,Thorac total exc thymus,Thoracoscopic total excision of thymus,Thymus Excision
421,791,Thymus field exploration,Exploration of thymus field,Thymus Exploration
422,792,Other incision of thymus,Other incision of thymus,Thymectomy
423,793,Repair of thymus,Repair of thymus,Thymus Repair
424,794,Thymus transplantation,Transplantation of thymus,Thymus Transplantation
425,795,Thorac incision thymus,Thoracoscopic incision of thymus,Thymectomy
426,798,Oth thorac op thymus NOS,Other and unspecified thoracoscopic operations on thymus,Thymectomy
427,799,Other thymus ops NOS,Other and unspecified operations on thymus,Thymus Operations
428,801,Incision of lid margin,Incision of lid margin,Lid Incision
429,802,Blepharorrhaphy severing,Severing of blepharorrhaphy,Blepharorrhaphy Severing
430,809,Other eyelid incision,Other incision of eyelid,Eyelid Incision
431,811,Eyelid biopsy,Biopsy of eyelid,Eyelid Biopsy
432,819,Eyelid dx procedure NEC,Other diagnostic procedures on eyelid,Eyelid Diagnostic Procedures
433,820,Remove eyelid lesion NOS,"Removal of lesion of eyelid, not otherwise specified",Eyelid Lesion Removal
434,821,Chalazion excision,Excision of chalazion,Chalazion Excision
435,822,Excise minor les lid NEC,Excision of other minor lesion of eyelid,Eyelid Excision
436,823,Exc maj les lid prt-thic,"Excision of major lesion of eyelid, partial-thickness",Eyelid Excision
437,824,Exc maj les lid ful-thic,"Excision of major lesion of eyelid, full-thickness",Eyelid Excision
438,825,Destruction lid lesion,Destruction of lesion of eyelid,Eyelid Lesion Destruction
439,831,Ptosis rep-front mus sut,Repair of blepharoptosis by frontalis muscle technique with suture,Frontalis Muscle Blepharoptosis Repair
440,832,Ptosis rep-fron mus slng,Repair of blepharoptosis by frontalis muscle technique with fascial sling,Frontalis Muscle Blepharoptosis Repair
441,833,Ptosis rep-levat mus adv,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis,Blepharoptosis Repair
442,834,Ptosis rep-levat mus NEC,Repair of blepharoptosis by other levator muscle techniques,Levator Muscle Blepharoptosis Repair
443,835,Ptos rep-tarsal techniq,Repair of blepharoptosis by tarsal technique,Tarsal Blepharoptosis Repair
444,836,Blepharoptos repair NEC,Repair of blepharoptosis by other techniques,Blepharoptosis Repair
445,837,Reduc overcorrect ptosis,Reduction of overcorrection of ptosis,Ptosis Reduction
446,838,Correct lid retraction,Correction of lid retraction,Lid Retraction Correction
447,841,Thermocaut/entropion rep,Repair of entropion or ectropion by thermocauterization,Entropion or Ectropion Repair
448,842,Suture entropion repair,Repair of entropion or ectropion by suture technique,Entropion or Ectropion Repair
449,843,Wedg resec entropion rep,Repair of entropion or ectropion with wedge resection,Entropion or Ectropion Repair
450,1421,Chorioret les diathermy,Destruction of chorioretinal lesion by diathermy,Chorioretinal Lesion Destruction
451,1422,Chorioretin les cryother,Destruction of chorioretinal lesion by cryotherapy,Cryotherapy for Chorioretinal Lesion
452,2932,Pharyngeal diverticulec,Pharyngeal diverticulectomy,Pharyngeal Diverticullectomy
1,1423,Chorioret les xenon coag,Destruction of chorioretinal lesion by xenon arc photocoagulation,Xenon Arc Photocoagulation
2,1424,Chorioret les laser coag,Destruction of chorioretinal lesion by laser photocoagulation,Laser Photocoagulation of Chorioretinal Lesion
3,1425,Chorioret les p/coag NOS,Destruction of chorioretinal lesion by photocoagulation of unspecified type,Photocoagulation of Chorioretinal Lesion
4,1426,Chorioret les radiother,Destruction of chorioretinal lesion by radiation therapy,Radiation Therapy for Chorioretinal Lesion
5,1427,Chorioret les rad implan,Destruction of chorioretinal lesion by implantation of radiation source,Radiation Therapy for Chorioretinal Lesion
6,1429,Chorioret les destr NEC,Other destruction of chorioretinal lesion,Chorioretinal Lesion Destruction
7,1431,Retinal tear diathermy,Repair of retinal tear by diathermy,Retinal Tear Repair
8,1432,Retinal tear cryotherapy,Repair of retinal tear by cryotherapy,Retinal Cryotherapy
9,1433,Retinal tear xenon coag,Repair of retinal tear by xenon arc photocoagulation,Retinal Tear Repair
10,1434,Retinal tear laser coag,Repair of retinal tear by laser photocoagulation,Laser Retinal Repair
11,1435,Retina tear photocoa NOS,Repair of retinal tear by photocoagulation of unspecified type,Retinal Photocoagulation
12,1439,Retinal tear repair NEC,Other repair of retinal tear,Retinal Tear Repair
13,1441,Scleral buckle w implant,Scleral buckling with implant,Scleral Buckling
14,1449,Scleral buckling NEC,Other scleral buckling,Scleral Buckling
15,1451,Detach retina-diathermy,Repair of retinal detachment with diathermy,Retinal Detachment Repair
16,1452,Detach retina-cryotherap,Repair of retinal detachment with cryotherapy,Retinal Detachment Repair
17,1453,Detach retina xenon coag,Repair of retinal detachment with xenon arc photocoagulation,Retinal Detachment Repair
18,1454,Detach retina laser coag,Repair of retinal detachment with laser photocoagulation,Retinal Detachment Repair
19,1455,Detach ret photocoag NOS,Repair of retinal detachment with photocoagulation of unspecified type,Retinal Detachment Repair
20,1459,Repair retina detach NEC,Other repair of retinal detachment,Retinal Reattachment
21,146,Remov pros mat post seg,Removal of surgically implanted material from posterior segment of eye,Posterior Segment Eye Implant Removal
22,1471,Anterior remov vitreous,"Removal of vitreous, anterior approach",Vitreous Removal
23,1472,Vitreous removal NEC,Other removal of vitreous,Vitreous Removal
24,1473,Anterior mechan vitrect,Mechanical vitrectomy by anterior approach,Vitrectomy
25,1474,Mech vitrectomy NEC,Other mechanical vitrectomy,Vitrectomy
26,1475,Vitreous substitut injec,Injection of vitreous substitute,Vitreous Substitute Injection
27,1479,Vitreous operation NEC,Other operations on vitreous,Vitreous Surgery
28,1481,Imp epiretinal prosth,Implantation of epiretinal visual prosthesis,Retinal Implant
29,1482,Rem epiretinal prosth,Removal of epiretinal visual prosthesis,Retinal Prosthesis Removal
30,1483,Rev/repl epiretinal pros,Revision or replacement of epiretinal visual prosthesis,Retinal Prosthesis Revision or Replacement
31,149,Other post segment ops,"Other operations on retina, choroid, and posterior chamber",Retinal and Choroidal Surgery
32,1501,Extraoc musc-tend biopsy,Biopsy of extraocular muscle or tendon,Extraocular Muscle or Tendon Biopsy
33,1509,Extraoc musc dx proc NEC,Other diagnostic procedures on extraocular muscles and tendons,Extraocular Muscle and Tendon Procedures
34,1511,One extraoc mus recess,Recession of one extraocular muscle,Eye Muscle Reconstruction
35,1512,1 extraoc muscl advance,Advancement of one extraocular muscle,Eye Muscle Advancement
36,1513,1 extraoc muscl resect,Resection of one extraocular muscle,Eye Muscle Resection
37,1519,Xtraoc mus op/detach NEC,Other operations on one extraocular muscle involving temporary detachment from globe,Orbital Muscle Reattachment
38,1521,Lengthen 1 extraoc musc,Lengthening procedure on one extraocular muscle,EOM Lengthening
39,1522,Shorten 1 extraoc musc,Shortening procedure on one extraocular muscle,EOM Shortening
40,1529,Op on 1 extraoc musc NEC,Other operations on one extraocular muscle,EOM Repair
41,153,Temp detach >1 xtroc mus,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes",Extraocular Muscle Reattachment
42,154,Oth op on >l extraoc mus,"Other operations on two or more extraocular muscles, one or both eyes",Extraocular Muscle Surgery
43,155,Extraocul mus transposit,Transposition of extraocular muscles,Extraocular Muscle Transposition
44,156,Revis extraoc musc surg,Revision of extraocular muscle surgery,Extraocular Muscle Revision Surgery
45,157,Extraoc musc inj repair,Repair of injury of extraocular muscle,Extraocular Muscle Repair
46,159,Oth extraoc mus-tend op,Other operations on extraocular muscles and tendons,Extraocular Muscle and Tendon Surgery
47,1713,Lap ing hern-graft NOS,"Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified",Laparoscopic Inguinal Hernia Repair
48,1721,Lap bil dir ing hrn-grft,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis,Laparoscopic Bilateral Hernia Repair
49,1722,Lap bi indir ing hrn-grf,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis,Laparoscopic Bilateral Hernia Repair
50,1723,Lap bi dr/ind ing hrn-gr,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis",Laparoscopic Inguinal Hernia Repair
51,1724,Lap bil ing hern-grf NOS,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified",Laparoscopic Inguinal Hernia Repair
52,1731,Lap mul seg res lg intes,Laparoscopic multiple segmental resection of large intestine,Laparoscopic Multiple Segmental Resection of Large Intestine
53,1732,Laparoscopic cecectomy,Laparoscopic cecectomy,Laparoscopic CECETOMY
54,1733,Lap right hemicolectomy,Laparoscopic right hemicolectomy,Right Hemicolectomy
55,1734,Lap res transverse colon,Laparoscopic resection of transverse colon,Laparoscopic Colon Resection
56,1735,Lap left hemicolectomy,Laparoscopic left hemicolectomy,Laparoscopic Hemicolectomy
57,1736,Lap sigmoidectomy,Laparoscopic sigmoidectomy,Laparoscopic Sigmoidectomy
58,1739,Lap pt ex lrg intest NEC,Other laparoscopic partial excision of large intestine,Laparoscopic Large Intestine Excision
59,1601,Orbitotomy w bone flap,Orbitotomy with bone flap,Orbitotomy
60,1602,Orbitotomy w implant,Orbitotomy with insertion of orbital implant,Orbital Implant Insertion
61,1609,Orbitotomy NEC,Other orbitotomy,Orbitotomy
62,161,Remove penetrat FB eye,"Removal of penetrating foreign body from eye, not otherwise specified",Eye Foreign Body Removal
63,1621,Ophthalmoscopy,Ophthalmoscopy,Eye Exam
64,1622,Diagnostic asp of orbit,Diagnostic aspiration of orbit,Orbit Aspiration
65,1623,Eyeball & orbit biopsy,Biopsy of eyeball and orbit,Orbital Biopsy
66,1629,Eyebal/orbit dx proc NEC,Other diagnostic procedures on orbit and eyeball,Orbit and Eyeball Diagnostics
67,1631,Eye evisc w synch implan,Removal of ocular contents with synchronous implant into scleral shell,Ocular Implant
68,1639,Eyeball evisceration NEC,Other evisceration of eyeball,Evisceration of Eye
69,1641,Eye enuc/implan/musc att,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles,Eyeball Enucleation with Implant
70,1642,Eye enuc w implant NEC,Enucleation of eyeball with other synchronous implant,Eyeball Enucleation
71,1649,Eyeball enucleation NEC,Other enucleation of eyeball,Enucleation of Eyeball
72,1651,Radical orbitomaxillect,Exenteration of orbit with removal of adjacent structures,Orbit Exenteration
73,1652,Orbit exent w bone remov,Exenteration of orbit with therapeutic removal of orbital bone,Orbital Exenteration
74,1659,Orbital exenteration NEC,Other exenteration of orbit,Orbit Exenteration
75,1661,2ndry ocular imp insert,Secondary insertion of ocular implant,Ocular Implant Revision
76,1662,Revis/reinsert ocul imp,Revision and reinsertion of ocular implant,Ocular Implant Revision
77,1663,Revis enuc socket w grft,Revision of enucleation socket with graft,Socket Revision with Graft
78,1664,Enuc socket revis NEC,Other revision of enucleation socket,Enucleation Socket Revision
79,1665,2ndry exent cavity graft,Secondary graft to exenteration cavity,Graft to Exenteration Cavity
80,1666,Revis exenter cavity NEC,Other revision of exenteration cavity,Exenteration Revision
81,1669,2nd op post eye rem NEC,Other secondary procedures after removal of eyeball,Posterior Eyeball Procedures
82,1671,Remove ocular implant,Removal of ocular implant,Ocular Implant Removal
83,1672,Remove orbital implant,Removal of orbital implant,Orbital Implant Removal
84,1681,Repair of orbital wound,Repair of wound of orbit,Orbital Wound Repair
85,63,Perc ins carotid stent,Percutaneous insertion of carotid artery stent(s),Carotid Artery Stenting
86,64,Perc ins extracran stent,Percutaneous insertion of other extracranial artery stent(s),Extracranial Artery Stenting
87,65,Perc ins intracran stent,Percutaneous insertion of intracranial vascular stent(s),Intracranial Stent Insertion
88,66,PTCA,Percutaneous transluminal coronary angioplasty [PTCA],Angioplasty
89,67,Intravas msmnt thorc art,Intravascular pressure measurement of intrathoracic arteries,Intravascular Pressure Measurement
90,68,Intravas msmt periph art,Intravascular pressure measurement of peripheral arteries,Peripheral Artery Intracoronary Pressure Measurement
91,69,Intravs msmt ves NEC/NOS,"Intravascular pressure measurement, other specified and unspecified vessels",IVP Measurement
92,70,Rev hip repl-acetab/fem,"Revision of hip replacement, both acetabular and femoral components",Revision Hip Replacement
93,71,Rev hip repl-acetab comp,"Revision of hip replacement, acetabular component",Hip Revision
94,72,Rev hip repl-fem comp,"Revision of hip replacement, femoral component",Revision Hip Replacement
95,73,Rev hip repl-liner/head,"Revision of hip replacement, acetabular liner and/or femoral head only",Hip Revision
96,74,"Hip surface, metal/poly","Hip bearing surface, metal-on-polyethylene",Hip Bearing Surface Replacement
97,75,"Hip surface, metal/metal","Hip bearing surface, metal-on-metal",Hip Bearing Surface
98,76,"Hip surface, cermc/cermc","Hip bearing surface, ceramic-on-ceramic",Ceramic-on-Ceramic Hip Bearing Surface
99,77,"Hip surface, cermc/poly","Hip bearing surface, ceramic-on-polyethylene",Ceramic-on-Polyethylene Hip Bearing Surface
100,80,Rev knee replacemt-total,"Revision of knee replacement, total (all components)",Revision Knee Replacement
101,81,Rev knee repl-tibia comp,"Revision of knee replacement, tibial component",Tibial Component Revision Knee Replacement
102,82,Rev knee repl-femur comp,"Revision of knee replacement, femoral component",Revision Knee Replacement
103,83,Rev knee replace-patella,"Revision of knee replacement, patellar component",Revision Knee Replacement
104,84,Rev knee repl-tibia lin,"Revision of total knee replacement, tibial insert (liner)",Revision TKR-Tibial Insert
105,85,"Resrf hip,total-acet/fem","Resurfacing hip, total, acetabulum and femoral head",Total Hip Resurfacing
106,86,"Resrf hip,part-fem head","Resurfacing hip, partial, femoral head",Hip Resurfacing
107,87,"Resrf hip,part-acetablum","Resurfacing hip, partial, acetabulum",Hip Resurfacing
108,91,Trnsplnt live rel donor,Transplant from live related donor,Living Donor Transplant
109,92,Trnsplnt live nonrel don,Transplant from live non-related donor,Living Donor Transplant
110,93,Transplant cadaver donor,Transplant from cadaver,Cadaveric Transplant
111,94,Intra-op neurophys montr,Intra-operative neurophysiologic monitoring,IONM
